Primary Source	Primary Source Concept ID	syndrome	RashSyn	HemorrhagicSyn	BotulicSyn	NeuroSyn	ConstitutionalSyn	SensitiveResp	SpecificResp	RespSyn	SensitiveGI	SpecificGI	GISyn	ILISyn	Concept	SubConcept	Relation to Concept	UMLS concept ID	Diagnosis	Syndrome	Physical Finding	Symptom	Sign	Related Disorder	Analog Disease	Bioterrorism Disease	Chest Radiograph	SNOMED	MESH	ICD-9	RadLex	CCC-Complaint	CCC-title	Keywords/RegExps
Sample reports		Gastrointestinal	0	0	0	0	0				1		1	0	Colitis	Colitis	ConceptName	C0009319:Colitis 	1	0	0	0	0	1	0	0	0		Colitis [C06.405.205.265]					colitis
ICD	556	Gastrointestinal	0	0	0	0	0				1	1	1	0	Colitis	UlcerativeColitis	RelatedConcept	C0009324:Ulcerative Colitis 	1	0	0	0	0	0	1	0	0		"   
 Colitis, Ulcerative [C06.405.205.265.231] "					ulcerative colitis
RODS CC		Neurologic	0	0	0	1	0							0	Concussion	Concussion	ConceptName	C0006107:Concussion NOS	1	0	0	0	0	0	0	0	0		Brain Concussion [C10.228.140.199.250]					concussion
RODS CC		Neurologic	0	0	0	1	0							0	Convulsion	Seizure	Synonym	C0036572:Seizure	0	0	1	0	0	0	0	0	0		Seizures [C10.597.742]					"seizure, convulsion"
RODS CC		Neurologic	0	0	0	1	0							0	Convulsion	Convulsion	ConceptName	C0009951:Convulsion 	0	0	1	0	0	0	0	0	0		Seizures [C23.888.592.742]					"convulsion, convulsions"
SyndromeCC		Respiratory	0	0	0	0	0	1	1	1				0	COPD	COPD	ConceptName	C0024117:COPD 	1	0	0	0	0	1	0	0	0		"Pulmonary Disease, Chronic Obstructive [C08.381.495.389]"					c.o.p.d. [\bc\.?o\.?p\.?d\.?\b] [C0024117:COPD (Chronic Obstructive Airway Disease)]:::copd [\bc\.?o\.?p\.?d\.?\b] [C0024117:COPD (Chronic Obstructive Airway Disease)]:::pulm obstructive disease [\bpulm\.?\s+obstruct.*?\s+dise.*?\b] [C0024117:COPD (Chronic Obstructive Airway Disease)]:::chronic obstructive pulmonary disease [\bchron.*?\s+obstru.*?\s+pulm.*?\s+disea.*?\b] [C0024117:COPD (Chronic Obstructive Airway Disease)]:::c o p d [\bc(\.|\s)*o(\.|\s)*p(\.|\s)*d] [C0024117:COPD (Chronic Obstructive Airway Disease)]:::dcopd [\bdcopd\b] [C0024117:COPD (Chronic Obstructive Airway Disease)]:::
SyndromeCC		Respiratory	0	0	0	0	0	1	1	1				0	COPD	Emphysema	RelatedConcept	C0034067:Emphysema	1	0	0	0	0	1	0	0	0		Emphysema [C23.550.325]					emphysema [\bemphysema\b] [C0034067:Emphysema]:::
CCOntology			0	0	0	0	0	1	1	1				0	COPD	ChronicBronchitis	RelatedConcept	"C0008677:Bronchitis, Chronic"	1	0	0	0	0			0	0		"Bronchitis, Chronic [C08.127.446.567]  "					chronic bronchitis [\bchron.*?\s+bronchit.*?\b] [C0008677:Bronchitis Chronic]:::
ICD		Gastrointestinal	0	0	0	0	0				1	1	1	0	CrohnsDisease	CrohnsDisease	ConceptName	C0010346:Crohns Disease	1	0	0	0	0	1	0	0	0		Crohn Disease [C06.405.205.731.500]					"crohns disease, crohn's disease, crohn's, crohns, iliitis"
ICD	78.5	Constitutional	0	0	0	0	1							0	CytomegaloViralDisease	CytomegaloViralDisease	ConceptName		1	0	0	0	0	0	1	0	0		Cytomegalovirus Infections [C02.256.466.245]					"cytomegaloviral diease, CMV disease, CMV"
RODS CC		Neurologic	0	0	0	1	0							0	DecreasedHearing	DecreasedHearing	ConceptName		0	0	1	1	0	0	0	0	0							"decreased hearing, hard of hearing"
Biocaster	SYMPTOM_96	Neurologic	0	0	0	1	0							0	Dehydration	HypovolemicShock	RelatedConcept	C0020683:Hypovolaemic shock	1	0	0	0	0	1	0	0	0		Shock [C23.550.835]					hypovolemic shock
SyndromeCC		Gastrointestinal	0	0	0	0	0				1		1	0	Dehydration	Dehydration	ConceptName	C0011175:Dehydration	0	0	1	0	0	1	0	0	0		Dehydration [C18.452.950.179]					dihydration [\bd(e|i)hydration\b] [C0011175:Dehydration]:::volume depletion [\bvolume\s+deplet.*?\b] [C0011175:Dehydration]:::needs IV fluids [\bneeds\s+iv\s+fluids?\b] [C0011175:Dehydration]:::needs fluids [\bneeds?\s+fluids?\b] [C0011175:Dehydration]:::dehy [\bdehy\b] [C0011175:Dehydration]:::
Biocaster	SYMPTOM_100	Neurologic	0	0	0	1	0							0	Delirium	Delirium	ConceptName	C0011206:Delirium	0	0	1	0	1	0	0	0	0		Delirium [C10.597.606.337.500]  					"delirium, mental disturbance"
RODS CC		Rash	1	0	0	0	0							0	Dermatitis	Dermatitis	ConceptName	C0011603:Dermatitis	1	0	0	0	0	0	1	0	0		Dermatitis [C17.800.174]					"dermatitis, rash, hives"
JD measles term		Rash	1	0	0	0	0	0	0	0	0	0	0	0	Desquamation	Desquamation	ConceptName		0	0	1	0	1	0	0	0	0							
ICD	780.8	Constutional	0	0	0	0	1							0	Diaphoresis	Sweating	Synonym	C0038990:Sweating	0	0	1	0	1	0	0	0	0		Sweating [G07.110.232.693]					"sweating, diaphoresis"
CCOntology			0	0	0	0	1							0	Diaphoresis	Diaphoresis	ConceptName	C0038990:Diaphoresis	0	0	1	1	1			0	0							clammy [\bclammy\b] [C0392162:Clammy (Clammy skin)]:::diaphoresis [\bdiapho.*sis\b] [C0038990:Diaphoresis]:::diaphoretic  [\bdiaphoretic\b] [C1707737:Diaphoretic]:::night sweats [\bnight sweats?\b] [C0028081:Night sweats]:::sweat [\bsweat\b] [C0038990:SWEAT]:::sweating [\bsweating\b] [C0038990:Sweating] :::sweats [\bsweats\b] [C0038990:SWEATS]:::
Sample reports		Gastrointestinal	0	0	0	0	0				1		1	0	Diarrhea	Dysentery	RelatedConcept	C0013369:Dysentery	0	0	1	1	0	0	0	0	0		Dysentery [C06.405.205.331]					"dysentery, diarrhea"
SyndromeCC		Gastrointestinal	0	0	0	0	0				1	1	1	0	Diarrhea	Rotavirus	RelatedConcept	C0035870:Rotavirus	1	0	0	0	0	1	0	0	0		Rotavirus [B04.820.630.790]					rotovirus [\brot(o|a)virus\b] [C0035870:Rotavirus]:::rotavirus  [\brot(o|a)virus\b]  [C0035870:Rotavirus]
CCOntology			0	0	0	0	0				1	1	1	0	Diarrhea	WateryStool	Synonym	C0232708:Watery stool	0	0	1	1	1			0	0							liquid stool [\bliqu.*?\s+stoo.*?\b] [C0232708:Watery stool]:::watery stool [\bwater.*?\s+stool.*?\b] [C0232708:Watery stool]:::
CCOntology			0	0	0	0	0				1	1	1	0	Diarrhea	LooseStool	Synonym	C0011991:Loose stool	0	0	1	1	1			0	0							loose bm [\bloose\s+bm\b] [C0011991:Loose stool]:::loose stool [\bloos.*?\s+stool\b] [C0011991:Loose stool]:::loose stools [\bloos.*?\s*stool.*?\b] [C0011991:Loose stool]:::bowel + loose [\bbowel(\s|\+)*loos.*?\b] [C0011991:Loose stool]:::loose + stool [\bloose(\s|\+)*stool.*?\b] [C0011991:Loose stool]:::
55 respiratory		Respiratory	0	0	0	0	0	1		1				0	Dullness	Dullness	ConceptName	C0541911:Dullness	0	0	1	0	1	0	0	0	0							dullness
RODS CC		Botulinic	0	0	1	0	0							0	Dysphagia	Dysphagia	ConceptName	C0011168:Dysphagia	0	0	1	0	1	0	0	0	0		Deglutition Disorders [C06.405.117.119]					"dysphagia, difficulty swallowing"
CCOntology			0	0	0	0	0	1	1	1				0	Dyspnea	RespiratoryDistress	Synonym	C0476273:Respiratory distress	0	0	1	1	1			0	0		"Respiratory Distress Syndrome, Adult [C08.381.840]"					resp(iratory) dist(ress) [\bresp.*?\s+dist.*?\b] [C0476273:Respiratory distress]:::respiratiory dist(ress) [\bresp.*?\s+dist.*?\b] [C0476273:Respiratory distress]:::respitory dist(ress) [\bresp.*?\s+dist.*?\b] [C0476273:Respiratory distress]:::respr dist(ress) [\bresp.*?\s+dist.*?\b] [C0476273:Respiratory distress]:::resp(iratory) destress [\bresp.*?\s+dest.*?\b] [C0476273:Respiratory distress]:::respiratiory destress [\bresp.*?\s+dest.*?\b] [C0476273:Respiratory distress]:::respitory destress [\bresp.*?\s+dest.*?\b] [C0476273:Respiratory distress]:::respr(iatory) destress [\bresp.*?\s+dest.*?\b] [C0476273:Respiratory distress]:::respitory stress [\bresp.*?\s+stres.*?\b] [C0476273:Respiratory distress]:::respiratiory stress [\bresp.*?\s+stres.*?\b] [C0476273:Respiratory distress]:::respitory stress [\bresp.*?\s+stres.*?\b] [C0476273:Respiratory distress]:::respr(iatory) stress [\bresp.*?\s+stres.*?\b] [C0476273:Respiratory distress]:::braeth* [\bbraeth.*?\b] [C0013404:Breathless]:::breaht* [\bbreaht.*?\b] [C0013404:Breathless]:::breath* [\bbreath.*?\b] [C0013404:Breathless]:::breat(hing) diff(iculty) [\bbreat.*?\s+diff.*?\b] [C0013404:Breathing Difficulties (Dyspnea)]:::breat(hing) funny [\bbreath.*?\s+funny\b][C0013404:Breathing Difficulties (Dyspnea)]:::breat(hing) hard [\bbreat.*?\s+hard\b][C0013404:Breathing Difficulties (Dyspnea)]:::breat(hing) heav(y/ily) [\bbreat.*?\s+heav.*?\b] [C0013404:Breathing Difficulties (Dyspnea)]:::breat(hing) issue [\bbreat.*?\s+issue\b] [C0013404:Breathing Difficulties (Dyspnea)]:::breat(hing) prob(lems) [\bbreat.*?\s+prob.*?\b] [C0013404:Breathing Difficulties (Dyspnea)]:::breat(hing) troub(le) [\bbreat.*?\s+tro.*?\b] [C0013404:Breathing Difficulties (Dyspnea)]:::coarse breat(hing) [\bcoarse\s+breat.*?\b] [C0476273:Respiratory distress]:::course breat(hing) [\bcourse\s+breat.*?\b] [C0476273:Respiratory distress]:::diff(iculty) breat(hing) [\bdiffi.*?\s+breat.*?\b][C0013404:Breathing Difficulties (Dyspnea)]:::ard to breat(he) [\bh*ard\s+to\s+breat.*?\b] [C0013404:Breathing Difficulties (Dyspnea)]:::heavy breat(hing) [\bheavy\s+breat.*?\b] [C0013404:Breathing Difficulties (Dyspnea)]:::hyperventilating [\bhyperventil.*?\b] [C0020578:Hyperventilating]:::hyperventilation [\bhyperventil.*?\b] [C0020578:Hyperventilating]:::labored breat(hing) [\blabou?red\s+breat.*?\b ][C0476273:Respiratory distress]:::prob(lem) breat(hing) [\bprob.*?\s+breat.*?\b] [C0476273:Respiratory distress]:::resp(iratory) breat(hing) [\bresp.*?\s+breat.*?\b] [C0476273:Respiratory distress]:::respiratiory breat(hing) [\bresp.*?\s+breat.*?\b] [C0476273:Respiratory distress]:::respitory breat(hing) [\bresp.*?\s+breat.*?\b] [C0476273:Respiratory distress]:::respr(iatory) breat(hing) [\bresp.*?\s+breat.*?\b] [C0476273:Respiratory distress]:::resp(iratory) diff(iculty) [\bresp.*?\s+diff.*?\b] [C0476273:Respiratory distress]:::respiratiory diff(iculty) [\bresp.*?\s+diff.*?\b] [C0476273:Respiratory distress]:::respitory diff(iculty) [\bresp.*?\s+diff.*?\b] [C0476273:Respiratory distress]:::respr diff(iculty) [\bresp.*?\s+diff.*?\b] [C0476273:Respiratory distress]:::resp(iratory) prob(lems) [\bresp.*?\s+prob.*?\b] [C0476273:Respiratory distress]:::respiratiory prob(lems) [\bresp.*?\s+prob.*?\b] [C0476273:Respiratory distress]:::respitory prob(lems) [\bresp.*?\s+prob.*?\b] [C0476273:Respiratory distress]:::respr(iatory) prob(lems) [\bresp.*?\s+prob.*?\b] [C0476273:Respiratory distress]:::respiratiory troub(le) [\bresp.*?\s+troub.*?\b] [C0476273:Respiratory distress]:::resp(iratory) troub(le) [\bresp.*?\s+troub.*?\b] [C0476273:Respiratory distress] :::respitory troub(le) [\bresp.*?\s+troub.*?\b] [C0476273:Respiratory distress]:::respr(iatory) troub(le) [\bresp.*?\s+troub.*?\b] [C0476273:Respiratory distress]:::retracting [\bretracting\b] [C0476273:Respiratory distress]:::shallow breat(hing) [\bshallow\s+breat.*?\b] [C0221161:Shallow breathing]:::troub(le) breat(hing) [\btroub.*?\s+breat.*?\b] [C0013404:Breathing Difficulties (Dyspnea)]:::wob [\bwob\b][C0013404:Breathing Difficulties (Dyspnea)]:::work of br(eathing) [\bwork\s+of\s+br.*?\b][C0013404:Breathing Difficulties (Dyspnea:::)]:::pneumonia-resp distress [\bpneu.*?(\/|-|\s+)+resp.*?\s+distress\b] [C0476273:Respiratory distress]:::
CCOntology			0	0	0	0	0	1	1	1				0	Dyspnea	Gasping	RelatedConcept	C0425449:Gasping 	0	0	1	1	0			0	0							gasping [\bgasping\b] [C0425449:Gasping]:::
CCOntology			0	0	0	0	0	1	1	1				0	Dyspnea	ShortnessOfBreath	Synonym	C0013404:Breathless	0	0	1	1	1			0	0		Dyspnea [C08.618.326]					resp(iratory) dist(ress) [\bresp.*?\s+dist.*?\b] [C0476273:Respiratory distress]:::respiratiory dist(ress) [\bresp.*?\s+dist.*?\b] [C0476273:Respiratory distress]:::respitory dist(ress) [\bresp.*?\s+dist.*?\b] [C0476273:Respiratory distress]:::respr dist(ress) [\bresp.*?\s+dist.*?\b] [C0476273:Respiratory distress]:::resp(iratory) destress [\bresp.*?\s+dest.*?\b] [C0476273:Respiratory distress]:::respiratiory destress [\bresp.*?\s+dest.*?\b] [C0476273:Respiratory distress]:::respitory destress [\bresp.*?\s+dest.*?\b] [C0476273:Respiratory distress]:::respr(iatory) destress [\bresp.*?\s+dest.*?\b] [C0476273:Respiratory distress]:::respitory stress [\bresp.*?\s+stres.*?\b] [C0476273:Respiratory distress]:::respiratiory stress [\bresp.*?\s+stres.*?\b] [C0476273:Respiratory distress]:::respitory stress [\bresp.*?\s+stres.*?\b] [C0476273:Respiratory distress]:::respr(iatory) stress [\bresp.*?\s+stres.*?\b] [C0476273:Respiratory distress]:::braeth* [\bbraeth.*?\b] [C0013404:Breathless]:::breaht* [\bbreaht.*?\b] [C0013404:Breathless]:::breath* [\bbreath.*?\b] [C0013404:Breathless]:::breat(hing) diff(iculty) [\bbreat.*?\s+diff.*?\b] [C0013404:Breathing Difficulties (Dyspnea)]:::breat(hing) funny [\bbreath.*?\s+funny\b][C0013404:Breathing Difficulties (Dyspnea)]:::breat(hing) hard [\bbreat.*?\s+hard\b][C0013404:Breathing Difficulties (Dyspnea)]:::breat(hing) heav(y/ily) [\bbreat.*?\s+heav.*?\b] [C0013404:Breathing Difficulties (Dyspnea)]:::breat(hing) issue [\bbreat.*?\s+issue\b] [C0013404:Breathing Difficulties (Dyspnea)]:::breat(hing) prob(lems) [\bbreat.*?\s+prob.*?\b] [C0013404:Breathing Difficulties (Dyspnea)]:::breat(hing) troub(le) [\bbreat.*?\s+tro.*?\b] [C0013404:Breathing Difficulties (Dyspnea)]:::coarse breat(hing) [\bcoarse\s+breat.*?\b] [C0476273:Respiratory distress]:::course breat(hing) [\bcourse\s+breat.*?\b] [C0476273:Respiratory distress]:::diff(iculty) breat(hing) [\bdiffi.*?\s+breat.*?\b][C0013404:Breathing Difficulties (Dyspnea)]:::ard to breat(he) [\bh*ard\s+to\s+breat.*?\b] [C0013404:Breathing Difficulties (Dyspnea)]:::heavy breat(hing) [\bheavy\s+breat.*?\b] [C0013404:Breathing Difficulties (Dyspnea)]:::hyperventilating [\bhyperventil.*?\b] [C0020578:Hyperventilating]:::hyperventilation [\bhyperventil.*?\b] [C0020578:Hyperventilating]:::labored breat(hing) [\blabou?red\s+breat.*?\b ][C0476273:Respiratory distress]:::prob(lem) breat(hing) [\bprob.*?\s+breat.*?\b] [C0476273:Respiratory distress]:::resp(iratory) breat(hing) [\bresp.*?\s+breat.*?\b] [C0476273:Respiratory distress]:::respiratiory breat(hing) [\bresp.*?\s+breat.*?\b] [C0476273:Respiratory distress]:::respitory breat(hing) [\bresp.*?\s+breat.*?\b] [C0476273:Respiratory distress]:::respr(iatory) breat(hing) [\bresp.*?\s+breat.*?\b] [C0476273:Respiratory distress]:::resp(iratory) diff(iculty) [\bresp.*?\s+diff.*?\b] [C0476273:Respiratory distress]:::respiratiory diff(iculty) [\bresp.*?\s+diff.*?\b] [C0476273:Respiratory distress]:::respitory diff(iculty) [\bresp.*?\s+diff.*?\b] [C0476273:Respiratory distress]:::respr diff(iculty) [\bresp.*?\s+diff.*?\b] [C0476273:Respiratory distress]:::resp(iratory) prob(lems) [\bresp.*?\s+prob.*?\b] [C0476273:Respiratory distress]:::respiratiory prob(lems) [\bresp.*?\s+prob.*?\b] [C0476273:Respiratory distress]:::respitory prob(lems) [\bresp.*?\s+prob.*?\b] [C0476273:Respiratory distress]:::respr(iatory) prob(lems) [\bresp.*?\s+prob.*?\b] [C0476273:Respiratory distress]:::respiratiory troub(le) [\bresp.*?\s+troub.*?\b] [C0476273:Respiratory distress]:::resp(iratory) troub(le) [\bresp.*?\s+troub.*?\b] [C0476273:Respiratory distress] :::respitory troub(le) [\bresp.*?\s+troub.*?\b] [C0476273:Respiratory distress]:::respr(iatory) troub(le) [\bresp.*?\s+troub.*?\b] [C0476273:Respiratory distress]:::retracting [\bretracting\b] [C0476273:Respiratory distress]:::shallow breat(hing) [\bshallow\s+breat.*?\b] [C0221161:Shallow breathing]:::troub(le) breat(hing) [\btroub.*?\s+breat.*?\b] [C0013404:Breathing Difficulties (Dyspnea)]:::wob [\bwob\b][C0013404:Breathing Difficulties (Dyspnea)]:::work of br(eathing) [\bwork\s+of\s+br.*?\b][C0013404:Breathing Difficulties (Dyspnea:::)]:::pneumonia-resp distress [\bpneu.*?(\/|-|\s+)+resp.*?\s+distress\b] [C0476273:Respiratory distress]:::
CCOntology			0	0	0	0	0	1	1	1				0	Dyspnea	CannotBreathe	RelatedConcept		0	0	1	1	1			0	0							can't breat(he) [\bcan.*t\s+breat.*?\b] [C0013404:Breathing Difficulties (Dyspnea)]:::cant breat(he) [\bcan.*t\s+breat.*?\b] [C0013404:Breathing Difficulties (Dyspnea)]:::can t breat(he) [\bcan.*t\s+breat.*?\b] [C0013404:Breathing Difficulties (Dyspnea)]:::cannot breat(he) [\bcan.*t\s+breat.*?\b] [C0013404:Breathing Difficulties (Dyspnea)]:::not breat(hing) [\bnot\s+breat.*?\b] [C0013404:Breathing Difficulties (Dyspnea)]:::
SyndromeCC		Respiratory	0	0	0	0	0	1		1				0	Earache	Earache	ConceptName	C0013456:Earache	0	0	0	1	0	0	0	0	0		Earache [C09.218.350]					ear ache [\bear\s*aches?\b] [C0013456:Earache]:::ear aches [\bear\s*aches?\b] [C0013456:Earache]:::ear pain [\bear\s*pains*\b] [C0013456:Earache]:::ear pn [\bear\s*pn\b] [C0013456:Earache]:::earache [\bear\s*aches?\b] [C0013456:Earache]:::erache [\berache\b] [C0013456:Earache]:::tugging [\btugging\b] [C0013456:Earache]:::ear hurts [\bears?\s*hurt.*?\b] [C0013456:Earache]:::
SyndromeCC		Respiratory	0	0	0	0	0	1		1				0	Earache	OtitisExterna	RelatedConcept	C0029878:Otitis Externa	1	0	0	0	0	1	0	0	0		Otitis Externa [C09.218.705.496] 					external otitis [\bexternal\s+otitis\b] [C0029878:Otitis Externa]:::oe [\boe\b] [C0029878:Otitis Externa]:::ototis externa [\bototis\s+externa\b] [C0029878:Otitis Externa]:::
SyndromeCC		Respiratory	0	0	0	0	0	1		1				0	Earache	OtitisMedia	RelatedConcept	C0029882:Otitis Media	1	0	0	0	0	1	0	0	0		Otitis Media [C09.218.705.663]					acute ot media [\bacute\s+ot\s+media\b] [C0029882:Otitis Media]:::bil otitis media [\bbil\s+otitis\s+media\b] [C0029882:Otitis Media]:::chronic otitis media [\bchronic\s+otitis\s+media\b] [C0029882:Otitis Media]:::ear dranage [\bear\s+drai*nage\b] [C0029882:Otitis Media]:::ear inf [\bear\s+inf.*?\b] [C0029882:Otitis Media]:::ear infection [\bear\s+inf.*?\b] [C0029882:Otitis Media]:::ear infections [\bear\s+inf.*?\b] [C0029882:Otitis Media]:::om [\bom\b] [C0029882:Otitis Media]:::ot media [\bot\s+media\b] [C0029882:Otitis Media]:::otitis [\botitis\b] [C0029882:Otitis Media]:::otitis media [\botitis\s+media\b] [C0029882:Otitis Media]:::otitis media bilat [\botitits\s+media\s+bilat\b] [C0029882:Otitis Media]:::otits media [\botits\s+media\b] [C0029882:Otitis Media]:::totis media [\btotis\s+media\b] [C0029882:Otitis Media]:::
CCOntology			0	0	0	0	0	1		1				0	Earache	Otalgia	Synonym	C0013456:Otalgia	0	0	0	1	0			0	0		Earache [C09.218.350]					otalgia [\botalgia\b] [C0013456:Otalgia]:::
RODS CC		Rash	1	0	0	0	0							0	Eczema	Eczema	ConceptName	C0013595:Eczema	1	0	0	0	0	1	0	0	0		Eczema [C17.800.174.620]					"eczema, itchy rash"
Biocaster	SkinAndSoftTissueSymptom_710	Rash	1	0	0	0	0							0	Edema	Edema	ConceptName	C0013604:Edema	0	0	1	0	0	1	0	0	0		Edema [C23.888.277]					"edema, fluid under the skin"
55 respiratory		Respiratory	0	0	0	0	0	1		1				0	Empyema	Empyema	ConceptName	C0014009:Empyema 	1	0	0	0	0	1	0	0	1		Empyema [C01.539.830.305]					"empyema, fluid in the chest"
Biocaster	SYMPTOM_122	Neurologic	0	0	0	1	0							0	Encephalitis	Encephalitis	ConceptName	C0014038:Encephalitis	1	0	0	0	0	0	0	1	0		Encephalitis [C02.182.500]					encephalitis
Sample reports		Gastrointestinal	0	0	0	0	0				1		1	0	Enteritis	Enteritis	ConceptName	C0014335:enteritis 	1	0	0	0	0	1	0	0	0		Enteritis [C06.405.205.462]					"Enteritis, illeitis"
Biocaster	637	Constitutional	0	0	0	0	1				1		1	0	EpidemicTyphus	EpidemicTyphus	ConceptName	C0041473:Epidemic typhus	1	0	0	0	0	0	0	1	0							"epidemic typhus, typhus"
SyndromeCC		Respiratory	0	0	0	0	0	1		1				0	Epiglottitis	Epiglottitis	ConceptName	C0014541:Epiglottitis	1	0	0	0	0	1	0	0	0		Epiglottis [A02.165.257.625.411]					epiglottitis [\bepiglot.*?\b] [C0014541:Epiglottitis]:::epiglotitis [\bepiglot.*?\b] [C0014541:Epiglottitis]:::
RODS CC		Hemorrhagic	0	1	0	0	0							0	Epistaxis	Epistaxis	ConceptName	C0014591:Epistaxis	0	0	1	0	0	1	0	0	0		Epistaxis [C08.460.261]					"epistaxis, nose bleed"
RODS CC		Rash	1	0	0	0	0							0	Erythema	Erythema	ConceptName	C0041834:Erythema	0	0	1	0	0	0	1	0	0		Erythema [C17.800.229]					"erythematous, red, red skin"
RODS CC		Rash	1	0	0	0	0							0	Erythema	Sunburn	RelatedConcept	C0038814:Sunburn	0	0	1	0	0	1	0	0	0		Sunburn [C21.866.200.855]					"sunburn, erythematous rash"
RODS CC		Neurologic	0	0	0	1	0							0	FacialNumbness	FacialNumbness	ConceptName	C0239511:FACIAL NUMBNESS	0	0	0	0	0	0	0	0	0							facial numbness
RODS CC		Neurologic	0	0	0	1	0							0	FacialPain	FacialPain	ConceptName	C0015468:Facial Pain	0	0	0	0	0	0	0	0	0		Facial Pain [C10.597.617.364]					facial pain
RODS CC		Neurologic	0	0	0	1	0							0	FacialWeakness	FacialWeakness	ConceptName	C0427055:Facial weakness	0	0	1	0	0	0	0	0	0							"facial weakness, cranial nerve palsy"
RODS CC		Neurologic	0	0	0	1	1							0	Fainting	Fainting	ConceptName	C0039070:Fainting	0	0	1	0	0	0	0	0	0		Syncope [C10.597.606.358.800.600]					"fainting, syncope"
RODS CC		Neurologic	0	0	0	1	0							0	Faintness	Vertigo	RelatedConcept	C0042571:Vertigo	0	0	0	0	0	0	0	0	0		Vertigo [C10.597.951]					"vertigo, dizziness"
SyndromeCC		Constitutional	0	0	0	0	1							0	Faintness	Dizziness	RelatedConcept	C0012833:Dizziness	0	0	0	1	0	0	0	0	0		Dizziness [C10.597.751.237]					dizz [\bdizz\b] [C0012833:Dizzy]:::
SyndromeCC		Constitutional	0	0	0	0	1							0	Faintness	Faintness	ConceptName	C0039070:Faintness	0	0	0	1	0	0	0	0	0							wooz [\bwooz\b] [C0039070:Faintness]:::faint [\bfaint\b] [C0039070:Faintness]:::faintness [\bfaintness\b] [C0039070:Faintness]:::pre-syncopal [\bpre-?sync.*?\b] [C0039070:Faintness]:::
SyndromeCC		Constutional	0	0	0	0	1							0	Faintness	LightHeadedness	RelatedConcept	C0220870:Lightheaded	0	0	0	1	0	0	0	0	0		Dizziness [C10.597.751.237]					light headed [\blight\s*?head.*?\b] [C0220870:Light-headed]:::light headedness [\blight\s*?head.*?\b] [C0220870:Light-headed]:::light headned [\blight\s*?head.*?\b] [C0220870:Light-headed]:::lightheaded [\blight\s*?head.*?\b] [C0220870:Light-headed]:::light-headed [\blight-head.*?\b] [C0220870:Light-headed]:::lightheadness [\blight\s*?head.*?\b] [C0220870:Light-headed]:::ltheaded [\blthead.*?\b] [C0220870:Light-headed]:::
Biocaster	SYMPTOM_216	Rash	1	0	0	0	0							0	FlushedFace	FlushedFace	ConceptName	C0016382:Flushed face	0	0	1	0	0	1	0	0	0							"flushed face, slapped face syndrome"
SyndromeCC		Gastrointestinal	0	0	0	0	0				1	1	1	0	Gastroenteritis	Gastroenteritis	ConceptName	C0017160:Gastroenteritis	1	0	0	0	0	0	1	0	0		Gastroenteritis [C06.405.205]					gastroe [\bgastroe\b] [C0017160:Gastroenteritis]:::stomach flu [\b(stomach|in.?estinal|gi)\s+(virus|flu)\b] [C0017160:Gastroenteritis]:::gastroenteritis [\bgastroenteritis\b] [C0017160:Gastroenteritis]:::
RODS CC		Hemorrhagic	0	1	0	0	0				1			0	GastrointestinalBleeding	GastrointestinalBleeding	ConceptName	C0017181:Gastrointestinal bleeding	0	1	0	0	0	1	0	0	0							"gastrointestinal bleeding, gi bleed, g.i. bleed"
ICD	1020	Constutional	0	0	0	0	1							0	GeneralizedWeakness	GeneralizedWeakness	ConceptName	C0004093:General weakness (Asthenia) 	0	0	0	1	0	0	0	0	0							generalized weakness [\bgeneral.*?\sweak.*?\b] [C1883552:GENERALIZED WEAKNESS]:::
RODS CC		Neurologic	0	0	0	1	0							0	Headache	Migraine	RelatedConcept	C0149931:Migraine	0	0	0	0	0	0	0	0	0		Migraine Disorders [C10.228.140.546.399.750]					migraine
Sample reports		Gastrointestinal	0	0	0	0	0						1	0	Hematochezia	Hematochezia	ConceptName	C0018932:Haematochezia	0	0	1	1	0	0	0	0	0		Gastrointestinal Hemorrhage [C23.550.414.788]					"hematochezia, hematochesia, blood in stool"
RODS CC		Hemorrhagic	0	1	0	0	0							0	Hematospermia	Hematospermia	ConceptName	C0149707:Haematospermia	0	0	1	0	0	1	0	0	0		Hemospermia [C12.294.293]					"hematospermia, decreased sperm"
RODS CC		Hemorrhagic	0	1	0	0	0							0	Hematuria	Hematuria	ConceptName	C0018965:HAEMATURIA	0	0	1	0	0	1	0	0	0		Hematuria [C12.777.934.442]					"hematuria, blood in urine, pink urine"
Biocaster	SYMPTOM_180	Hemorrhagic	0	1	0	0	0							0	Hemorrhage	Hemorrhage	ConceptName	C0019080:HAEMORRHAGE NOS	0	0	1	0	0	1	0	0	0		Hemorrhage [C23.550.414]					"hemorrhage, bleeding"
Biocaster	SYNDROME_1	Hemorrhagic	0	1	0	0	0							0	HemorrhagicFeverSyndrome	HemorrhagicFeverSyndrome	ConceptName	C0019104:Haemorrhagic fever	1	0	0	0	0	1	0	1	0							"hemorrhagic fever syndrome, ecchymoses"
		Rash	1	0	0	0	0							0	HerpesSimplex	HerpesSimplex	ConceptName	C0019348:Herpes Simplex	0	0	0	0	0	0	0	0	0		Herpes Simplex [C02.256.466.382]					"herpes simplex, herpes"
